label,image_name
0,Black_footed_Albatross_0004_2731401028.jpg
1,Laysan_Albatross_0013_23046783.jpg
2,Sooty_Albatross_0001_389284737.jpg
3,Groove_billed_Ani_0023_2734926572.jpg
4,Crested_Auklet_0017_1297094692.jpg
5,Least_Auklet_0021_1296242183.jpg
6,Parakeet_Auklet_0024_846242681.jpg
7,Rhinoceros_Auklet_0031_7658455.jpg
8,Brewer_Blackbird_0025_2873028499.jpg
9,Red_winged_Blackbird_0008_469101650.jpg
10,Rusty_Blackbird_0014_501239850.jpg
11,Yellow_headed_Blackbird_0021_2532597595.jpg
12,Bobolink_0011_2578725502.jpg
13,Indigo_Bunting_0018_12981558.jpg
14,Lazuli_Bunting_0016_750064695.jpg
15,Painted_Bunting_0028_xxx.jpg
16,Cardinal_0018_163213497.jpg
17,Spotted_Catbird_0015_3026208002.jpg
18,Gray_Catbird_0015_485094901.jpg
19,Yellow_breasted_Chat_0021_2470118400.jpg
20,Eastern_Towhee_0003_419369636.jpg
21,Chuck_will_Widow_0004_3030323153.jpg
22,Brandt_Cormorant_0001_426006321.jpg
23,Red_faced_Cormorant_0008_707313905.jpg
24,Pelagic_Cormorant_0018_426001939.jpg
25,Bronzed_Cowbird_0008_815138925.jpg
26,Shiny_Cowbird_0026_136317850.jpg
27,Brown_Creeper_0022_2178549648.jpg
28,American_Crow_0027_2324865969.jpg
29,Fish_Crow_0028_469745419.jpg
30,Black_billed_Cuckoo_0023_59203413.jpg
31,Mangrove_Cuckoo_0019_337535893.jpg
32,Yellow_billed_Cuckoo_0001_1131986586.jpg
33,Gray_crowned_Rosy_Finch_0003_3030304639.jpg
34,Purple_Finch_0027_2240951910.jpg
35,Northern_Flicker_0006_399706336.jpg
36,Acadian_Flycatcher_0015_89031577.jpg
37,Great_Crested_Flycatcher_0009_2541273287.jpg
38,Least_Flycatcher_0009_327368039.jpg
39,Olive_sided_Flycatcher_0021_16445778.jpg
40,Scissor_tailed_Flycatcher_0006_2819866645.jpg
41,Vermilion_Flycatcher_0017_2900886674.jpg
42,Yellow_bellied_Flycatcher_0009_2838155840.jpg
43,Frigatebird_0017_160368360.jpg
44,Northern_Fulmar_0028_409849707.jpg
45,Gadwall_0022_2240713696.jpg
46,American_Goldfinch_0015_455770809.jpg
47,European_Goldfinch_0008_72324831.jpg
48,Boat_tailed_Grackle_0019_2950819760.jpg
49,Eared_Grebe_0006_510224634.jpg
50,Horned_Grebe_0009_2403825611.jpg
51,Pied_billed_Grebe_0016_269660963.jpg
52,Western_Grebe_0036_2517657490.jpg
53,Blue_Grosbeak_0019_2487642.jpg
54,Evening_Grosbeak_0017_2413927428.jpg
55,Pine_Grosbeak_0017_394731873.jpg
56,Rose_breasted_Grosbeak_0005_2502549604.jpg
57,Pigeon_Guillemot_0019_1287730317.jpg
58,California_Gull_0018_75521211.jpg
59,Glaucous_winged_Gull_0007_2815843807.jpg
60,Heermann_Gull_0020_2112333012.jpg
61,Herring_Gull_0007_2989928278.jpg
62,Ivory_Gull_0011_403657463.jpg
63,Ring_billed_Gull_0008_2523358082.jpg
64,Slaty_backed_Gull_0023_2249631061.jpg
65,Western_Gull_0021_2729775765.jpg
66,Anna_Hummingbird_0023_2645207478.jpg
67,Ruby_throated_Hummingbird_0024_483395551.jpg
68,Rufous_Hummingbird_0020_266087696.jpg
69,Green_Violetear_0028_2992733182.jpg
70,Long_tailed_Jaeger_0021_1289048239.jpg
71,Pomarine_Jaeger_0002_395092835.jpg
72,Blue_Jay_0033_485689294.jpg
73,Florida_Jay_0018_2334720072.jpg
74,Green_Jay_0030_649594018.jpg
75,Dark_eyed_Junco_0004_2293186949.jpg
76,Tropical_Kingbird_0002_2436999301.jpg
77,Gray_Kingbird_0028_2905281363.jpg
78,Belted_Kingfisher_0007_307189369.jpg
79,Green_Kingfisher_0017_465524310.jpg
80,Pied_Kingfisher_0009_407710776.jpg
81,Ringed_Kingfisher_0005_2646487642.jpg
82,White_breasted_Kingfisher_0025_3055159611.jpg
83,Red_legged_Kittiwake_0016_881213027.jpg
84,Horned_Lark_0012_2317914424.jpg
85,Pacific_Loon_0020_709516077.jpg
86,Mallard_0012_269654809.jpg
87,Western_Meadowlark_0012_783456360.jpg
88,Hooded_Merganser_0003_3004584811.jpg
89,Red_breasted_Merganser_0015_2389026444.jpg
90,Mockingbird_0018_90050903.jpg
91,Nighthawk_0012_2493780406.jpg
92,Clark_Nutcracker_0034_1731620516.jpg
93,White_breasted_Nuthatch_0001_2922319182.jpg
94,Baltimore_Oriole_0004_864311617.jpg
95,Hooded_Oriole_0006_452605613.jpg
96,Orchard_Oriole_0027_2678724108.jpg
97,Scott_Oriole_0009_2252909206.jpg
98,Ovenbird_0006_2671476977.jpg
99,Brown_Pelican_0028_2472078287.jpg
100,White_Pelican_0025_2103174561.jpg
101,Western_Wood_Pewee_0027_1066235118.jpg
102,Sayornis_0012_2398863391.jpg
103,American_Pipit_0020_485611885.jpg
104,Whip_poor_Will_0008_483309652.jpg
105,Horned_Puffin_0010_1016707464.jpg
106,Common_Raven_0015_2535407958.jpg
107,White_necked_Raven_0025_2967055834.jpg
108,American_Redstart_0019_2983863945.jpg
109,Geococcyx_0011_2521624580.jpg
110,Loggerhead_Shrike_0018_2356156312.jpg
111,Great_Grey_Shrike_0002_2944663197.jpg
112,Baird_Sparrow_0019_2102093870.jpg
113,Black_throated_Sparrow_0014_1202804703.jpg
114,Brewer_Sparrow_0014_29237183.jpg
115,Chipping_Sparrow_0012_2462909394.jpg
116,Clay_colored_Sparrow_0002_2503843293.jpg
117,House_Sparrow_0014_123716771.jpg
118,Field_Sparrow_0018_2691319086.jpg
119,Fox_Sparrow_0002_3059583792.jpg
120,Grasshopper_Sparrow_0013_2903856054.jpg
121,Harris_Sparrow_0012_399463859.jpg
122,Henslow_Sparrow_0008_2193799162.jpg
123,Le_Conte_Sparrow_0021_3047471462.jpg
124,Lincoln_Sparrow_0012_313506025.jpg
125,Nelson_Sharp_tailed_Sparrow_0001_276178390.jpg
126,Savannah_Sparrow_0021_2412106756.jpg
127,Seaside_Sparrow_0012_270633600.jpg
128,Song_Sparrow_0029_2387028139.jpg
129,Tree_Sparrow_0004_3056316761.jpg
130,Vesper_Sparrow_0020_177390924.jpg
131,White_crowned_Sparrow_0020_2327623753.jpg
132,White_throated_Sparrow_0019_3073844487.jpg
133,Cape_Glossy_Starling_0017_256745870.jpg
134,Bank_Swallow_0014_2534994029.jpg
135,Barn_Swallow_0022_2488011310.jpg
136,Cliff_Swallow_0003_2606019691.jpg
137,Tree_Swallow_0007_133236408.jpg
138,Scarlet_Tanager_0016_2226844761.jpg
139,Summer_Tanager_0015_2730013508.jpg
140,Artic_Tern_0031_2583452319.jpg
141,Black_Tern_0016_2532372850.jpg
142,Caspian_Tern_0025_873688154.jpg
143,Common_Tern_0013_2677898010.jpg
144,Elegant_Tern_0003_2800523347.jpg
145,Forsters_Tern_0017_1013968744.jpg
146,Least_Tern_0009_2659820797.jpg
147,Green_tailed_Towhee_0011_117938965.jpg
148,Brown_Thrasher_0016_2483674980.jpg
149,Sage_Thrasher_0012_1343979675.jpg
150,Black_capped_Vireo_0005_1977446818.jpg
151,Blue_headed_Vireo_0008_2372359048.jpg
152,Philadelphia_Vireo_0001_1386850614.jpg
153,Red_eyed_Vireo_0020_2693135269.jpg
154,Warbling_Vireo_0002_2777154293.jpg
155,White_eyed_Vireo_0010_2193256659.jpg
156,Yellow_throated_Vireo_0009_145356122.jpg
157,Bay_breasted_Warbler_0020_149614921.jpg
158,Black_and_white_Warbler_0010_2227561440.jpg
159,Black_throated_Blue_Warbler_0017_688075025.jpg
160,Blue_winged_Warbler_0031_1989197116.jpg
161,Canada_Warbler_0017_2693134325.jpg
162,Cape_May_Warbler_0015_xxx.jpg
163,Cerulean_Warbler_0026_2488286646.jpg
164,Chestnut_sided_Warbler_0024_506683687.jpg
165,Golden_winged_Warbler_0022_2507667229.jpg
166,Hooded_Warbler_0010_53159577.jpg
167,Kentucky_Warbler_0011_456946675.jpg
168,Magnolia_Warbler_0017_2519116831.jpg
169,Mourning_Warbler_0008_2501121196.jpg
170,Myrtle_Warbler_0014_274194207.jpg
171,Nashville_Warbler_0017_2540016022.jpg
172,Orange_crowned_Warbler_0011_125433265.jpg
173,Palm_Warbler_0009_374688662.jpg
174,Pine_Warbler_0010_517843130.jpg
175,Prairie_Warbler_0022_2576957498.jpg
176,Prothonotary_Warbler_0029_480952118.jpg
177,Swainson_Warbler_0011_520143156.jpg
178,Tennessee_Warbler_0020_59210520.jpg
179,Wilson_Warbler_0025_3040436307.jpg
180,Worm_eating_Warbler_0014_1344001975.jpg
181,Yellow_Warbler_0005_2532440519.jpg
182,Northern_Waterthrush_0028_155580940.jpg
183,Louisiana_Waterthrush_0020_697953108.jpg
184,Bohemian_Waxwing_0001_2233840010.jpg
185,Cedar_Waxwing_0008_497721048.jpg
186,American_Three_toed_Woodpecker_0010_171736739.jpg
187,Pileated_Woodpecker_0025_2323249191.jpg
188,Red_bellied_Woodpecker_0005_374451860.jpg
189,Red_cockaded_Woodpecker_0014_2351523311.jpg
190,Red_headed_Woodpecker_0007_2653260478.jpg
191,Downy_Woodpecker_0017_2496555016.jpg
192,Bewick_Wren_0031_419873749.jpg
193,Cactus_Wren_0016_2487431.jpg
194,Carolina_Wren_0027_2572866312.jpg
195,House_Wren_0004_2513233267.jpg
196,Marsh_Wren_0012_413210953.jpg
